YEAR,STATE,EVTYPE,FATALITIES,INJURIES,PROPDMG,CROPDMG
1950,alabama,TORNADO,0,15,0.0275,0
1951,alabama,TORNADO,0,13,0.035,0
1952,alabama,TORNADO,6,116,5.4525,0
1953,alabama,TORNADO,16,248,3.07,0
1954,alabama,TORNADO,0,36,0.60753,0
1955,alabama,ICE / SNOW / FROST / HAIL,0,0,0,0
1955,alabama,THUNDERSTORM / THUNDERSTORM WIND,0,0,0,0
1955,alabama,TORNADO,5,27,7.58,0
1956,alabama,ICE / SNOW / FROST / HAIL,0,0,0,0
1956,alabama,THUNDERSTORM / THUNDERSTORM WIND,0,0,0,0
1956,alabama,TORNADO,25,203,2.55325,0
1957,alabama,ICE / SNOW / FROST / HAIL,0,0,0,0
1957,alabama,THUNDERSTORM / THUNDERSTORM WIND,0,0,0,0
1957,alabama,TORNADO,10,192,7.22328,0
1958,alabama,ICE / SNOW / FROST / HAIL,0,0,0,0
1958,alabama,THUNDERSTORM / THUNDERSTORM WIND,0,0,0,0
1958,alabama,TORNADO,1,3,2.06,0
1959,alabama,ICE / SNOW / FROST / HAIL,0,0,0,0
1959,alabama,THUNDERSTORM / THUNDERSTORM WIND,0,0,0,0
1959,alabama,TORNADO,0,8,0.3305,0
1960,alabama,ICE / SNOW / FROST / HAIL,0,0,0,0
1960,alabama,THUNDERSTORM / THUNDERSTORM WIND,0,0,0,0
1960,alabama,TORNADO,0,2,0.5575,0
1961,alabama,ICE / SNOW / FROST / HAIL,0,0,0,0
1961,alabama,THUNDERSTORM / THUNDERSTORM WIND,0,0,0,0
1961,alabama,TORNADO,0,28,2.535,0
1962,alabama,ICE / SNOW / FROST / HAIL,0,0,0,0
1962,alabama,THUNDERSTORM / THUNDERSTORM WIND,0,0,0,0
1962,alabama,TORNADO,0,10,0.9275,0
1963,alabama,ICE / SNOW / FROST / HAIL,0,0,0,0
1963,alabama,THUNDERSTORM / THUNDERSTORM WIND,0,0,0,0
1963,alabama,TORNADO,3,76,9.228,0
1964,alabama,ICE / SNOW / FROST / HAIL,0,0,0,0
1964,alabama,THUNDERSTORM / THUNDERSTORM WIND,0,0,0,0
1964,alabama,TORNADO,12,31,2.1575,0
1965,alabama,ICE / SNOW / FROST / HAIL,0,0,0,0
1965,alabama,THUNDERSTORM / THUNDERSTORM WIND,0,0,0,0
1965,alabama,TORNADO,0,44,1.3525,0
1966,alabama,ICE / SNOW / FROST / HAIL,0,0,0,0
1966,alabama,THUNDERSTORM / THUNDERSTORM WIND,0,0,0,0
1966,alabama,TORNADO,1,17,1.1275,0
1967,alabama,ICE / SNOW / FROST / HAIL,0,0,0,0
1967,alabama,THUNDERSTORM / THUNDERSTORM WIND,0,0,0,0
1967,alabama,TORNADO,5,97,12.75275,0
1968,alabama,ICE / SNOW / FROST / HAIL,0,0,0,0
1968,alabama,THUNDERSTORM / THUNDERSTORM WIND,0,0,0,0
1968,alabama,TORNADO,1,46,7.27775,0
1969,alabama,ICE / SNOW / FROST / HAIL,0,0,0,0
1969,alabama,THUNDERSTORM / THUNDERSTORM WIND,0,0,0,0
1969,alabama,TORNADO,2,16,1.63028,0
1970,alabama,ICE / SNOW / FROST / HAIL,0,0,0,0
1970,alabama,THUNDERSTORM / THUNDERSTORM WIND,0,0,0,0
1970,alabama,TORNADO,2,16,1.1755,0
1971,alabama,ICE / SNOW / FROST / HAIL,0,0,0,0
1971,alabama,THUNDERSTORM / THUNDERSTORM WIND,0,0,0,0
1971,alabama,TORNADO,4,16,1.65275,0
1972,alabama,ICE / SNOW / FROST / HAIL,0,0,0,0
1972,alabama,THUNDERSTORM / THUNDERSTORM WIND,0,0,0,0
1972,alabama,TORNADO,4,95,1.9075,0
1973,alabama,ICE / SNOW / FROST / HAIL,0,0,0,0
1973,alabama,THUNDERSTORM / THUNDERSTORM WIND,0,0,0,0
1973,alabama,TORNADO,10,408,227.06025,0
1974,alabama,ICE / SNOW / FROST / HAIL,0,0,0,0
1974,alabama,THUNDERSTORM / THUNDERSTORM WIND,0,0,0,0
1974,alabama,TORNADO,79,959,139.5185,0
1975,alabama,ICE / SNOW / FROST / HAIL,0,0,0,0
1975,alabama,THUNDERSTORM / THUNDERSTORM WIND,0,0,0,0
1975,alabama,TORNADO,2,142,34.90528,0
1976,alabama,ICE / SNOW / FROST / HAIL,0,0,0,0
